Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,Equipos dados de baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Versión: 04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN GENERAL EQUIPOS,,,,,,,,,,,,,,,REGISTRO HISTÓRICO,,,,,,,,,,,INVENTARIO DE DOCUMENTOS,,,,,,,,INFORMACIÓN METROLÓGICA ADMINISTRATIVA,,,,INFORMACIÓN METROLÓGICA TÉCNICA,,,,,CONDICIONES DE FUNCIONAMIENTO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceso,Nombre del equipo,Código de inventario interno del laboratorio y/o asignado por UdeA,Código IPS,Código ECRI,Responsable del proceso en el que interviene el equipo o inventario UdeA,Ubicación física,Marca,Modelo,Serie,Clasificación según eje misional (Docencia y/o Investigación y/o Extensión),Clasificación IPS (IND-BIO-Gases),Clasificación por riesgo,Registro Invima/Permiso comercialización/No Requiere,Tiempo de vida útil,Antigüedad del eq. (F. adquisición),Propietario del equipo,Fecha de fabricación,NIT,Proveedor equipo,Está en garantía (Si/No),Fecha finalización garantía,Forma de adquisición,Tipo de documento,Número de documento,Valor de compra,Hoja de vida,Registro de importación,Manual operación (Esp),Manual servicio mto (Esp),Guía Rápida de uso,Instructivo de manejo rápido de equipos,Protocolo Mto Prev.,Frecuencia metrológica fabricante,Mantenimiento Si/No,Frecuencia anual mantenimiento,Calibración Si/No,Frecuencia anual calibración,Magnitud,Rango del equipo,Resolución,Rango de trabajo,Error máximo permitido,Voltaje,Corriente,Humedad relativa,Temperatura,Dimensiones,Peso,Otros
LIME,Congelador,135306,Pendiente,15 - 583,Gloria Zapata / Gloria Zapata,Procesamiento Seccion C,Challenger,CV430,9053127,,IND,,,,2009-12-10 00:00:00,UdeA,NI,890.934.939-8,Almacén Navarro Ospina S.A.,No,,Compra,Factura,47736,,SI,,SI,,,,,,Si,1,Si,1 (Calificación),Temperatura,T -18,NI,0 a - 33 ° C,NI,115 VAC,NI,NI,Max 38°C,"53,5 x 53 x 142 cm","55,5 kg",NI
LIME - Hematología,Agregometro,119325,BIO-12183,NI,Gloria Zapata / Gloria Zapata,Procesamiento Seccion A,Helena Laboratories,AGGRAM,630604801,,BIO,Clase IIa,INVIMA 2019DM-0019614,,2006-03-30 00:00:00,UdeA,NI,830.064.712-1,Helena Laboratories INC. (exportador)                  Labtronics S.A.S    ,No,,Compra,Factura,96442,,SI,SI,SI (ing),Carta de proveedor de no entrega de manual,SI,SI,,,Si,1,No,,Absorbancia,0 - 2 DE ,NI,0 - 2 DE ,NI,110 VAC,NI,NI,15 - 30 °C,"15,24 cm x 25,40 cm x 43,18 cm (alto x ancho x profundidad)","6,75 Kg",Frecuencia 50/60 Hz
