Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Versión: 04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN GENERAL EQUIPOS,,,,,,,,,,,,,,,REGISTRO HISTÓRICO,,,,,,,,,,,INVENTARIO DE DOCUMENTOS,,,,,,,,INFORMACIÓN METROLÓGICA ADMINISTRATIVA,,,,INFORMACIÓN METROLÓGICA TÉCNICA,,,,,CONDICIONES DE FUNCIONAMIENTO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceso,Nombre del equipo,Código de inventario interno del laboratorio y/o asignado por UdeA,Código IPS,Código ECRI,Responsable del proceso en el que interviene el equipo o inventario UdeA,Ubicación física,Marca,Modelo,Serie,Clasificación según eje misional (Docencia y/o Investigación y/o Extensión),Clasificación IPS (IND-BIO-Gases),Clasificación por riesgo,Registro Invima/Permiso comercialización/No Requiere,Tiempo de vida útil,Antigüedad del eq. (F. adquisición),Propietario del equipo,Fecha de fabricación,NIT,Proveedor equipo,Está en garantía (Si/No),Fecha finalización garantía,Forma de adquisición,Tipo de documento,Número de documento,Valor de compra,Hoja de vida,Registro de importación,Manual operación (Esp),Manual servicio mto (Esp),Guía Rápida de uso,Instructivo de manejo rápido de equipos,Protocolo Mto Prev.,Frecuencia metrológica fabricante,Mantenimiento Si/No,Frecuencia anual mantenimiento,Calibración Si/No,Frecuencia anual calibración,Magnitud,Rango del equipo,Resolución,Rango de trabajo,Error máximo permitido,Voltaje,Corriente,Humedad relativa,Temperatura,Dimensiones,Peso,Otros
Oftalmología,Equipo de Crioterapia Oftalmica,205160,BIO-15882,,Jefe de oftalmología,Almacen LIME,OPTIKON,CRYOLINE,CY0103,,BIO,,,,,,,,Rocol,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Facoemulsificador con vitrectomia,204175,BIO-15930,,Jefe de oftalmología,Fototerapia,ALCON,Constellation,2201949501X,,BIO,,,,,,,,Alcon,Si,2024-01-31 00:00:00,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Microscopio quirurgico,204174,BIO-15934,,Jefe de oftalmología,Fototerapia,Carl Zeiss,OPMI LUMERA T,6629186459,,BIO,,,,,,,,Kaika,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Laser YAG,204177,BIO-16916,,Jefe de oftalmología,Fototerapia,QUANTEL,OPTIMIS FUSION,62-10-189,,BIO,,,,,,,,Retina,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Laser ARGON,204178,BIO-16917,,Jefe de oftalmología,Fototerapia,QUANTEL,EASYRET,0956,,BIO,,,,,,,,Retina,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Tonometro,174246,BIO-16918,,Jefe de oftalmología,Consultorio 14 o 15,APPASAMY,AATM-5001,13150018069,,BIO,,,,,,,,Retina,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Tonometro,174245,BIO-16919,,Jefe de oftalmología,Consultorio 14 o 15,CSO,Z800,17100750,,BIO,,,,,,,,Retina,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Esterilizador autoclave,Pendiente,BIO-16920,,Jefe de oftalmología,Fototerapia,Sci Can,Statim 5000 G4,510822G00004 ,,BIO,,,,,,,,Rocol,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Pantalla de agudeza vicual,Pendiente,BIO-15963,,Jefe de oftalmología,Almacen LIME,KAIZER COLORS INSTRUMENTS,K1900,K19002022008,,BIO,,,,,,,,Color Instruments,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Oftalmoscopio indirecto,Pendiente,BIO-15964,,Jefe de oftalmología,Almacen LIME,Keeler,1204-P-3100,241091,,BIO,,,,,,,,Color Instruments,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología," Lente panretina 2,2 diotrias",174231,,,Jefe de oftalmología,Fototerapia,Volk,PAN RETINAL 2.2 VPRC,NI,,BIO,,,,,,,,Color Instruments,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Lente de GONIO,174235,,,Jefe de oftalmología,Fototerapia,Volk,GONIO G-4 VG4,NI,,BIO,,,,,,,,Color Instruments,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
Oftalmología,Lente láser retina,174232,,,Jefe de oftalmología,Fototerapia,Volk,SUPER QUAD VSQUAD160,NI,,BIO,,,,,,,,Color Instruments,Si,,Compra,Factura,,,,,,,,,,,,,,,,,,,,,,,,,,
