Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,Equipos dados de baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Versión: 04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN GENERAL EQUIPOS,,,,,,,,,,,,,,,REGISTRO HISTÓRICO,,,,,,,,,,,INVENTARIO DE DOCUMENTOS,,,,,,,,INFORMACIÓN METROLÓGICA ADMINISTRATIVA,,,,INFORMACIÓN METROLÓGICA TÉCNICA,,,,,CONDICIONES DE FUNCIONAMIENTO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceso,Nombre del equipo,Código de inventario interno del laboratorio y/o asignado por UdeA,Código IPS,Código ECRI,Responsable del proceso en el que interviene el equipo y/o inventario UdeA,Ubicación física,Marca,Modelo,Serie,Clasificación según eje misional (Docencia y/o Investigación y/o Extensión),Clasificación IPS (IND-BIO-Gases),Clasificación por riesgo,Registro Invima/Permiso comercialización/No Requiere,Tiempo de vida útil,Antigüedad del eq. (F. adquisición),Propietario del equipo,Fecha de fabricación,NIT,Proveedor equipo,Está en garantía (Si/No),Fecha finalización garantía,Forma de adquisición,Tipo de documento,Número de documento,Valor de compra,Hoja de vida,Registro de importación,Manual operación (Esp),Manual servicio mto (Esp),Guía Rápida de uso,Instructivo de manejo rápido de equipos,Protocolo Mto Prev.,Frecuencia metrológica fabricante,Mantenimiento Si/No,Frecuencia anual mantenimiento,Calibración Si/No,Frecuencia anual calibración,Magnitud,Rango del equipo,Resolución,Rango de trabajo,Error máximo permitido,Voltaje,Corriente,Humedad relativa,Temperatura,Dimensiones,Peso,Otros
Inmunodeficiencias Primarias,Baño María,143436 / 008689,BIO-16307,16-861,Diana Arboleda / Claudia Milena Trujillo Vargas,"SIU - Laboratorio de Inmunodeficiencias primarias - Torre 2, Lab 530",Memmert,WNB 7,L211.1357,Extensión  ,BIO,Clase I,"ACTA No. 07 Junio 10 de 2009 indica que no requiere registro sanitario, y se rectifica en ACTA No. 09 Octubre 17 de 2012",,2012-05-22 00:00:00,UdeA,NI,811.033.098-5,Importecnical,No,Mayo de 2013,Compra,Factura,IM011571,2648280,SI,NO,SI,SI (CAP MANT),SI,SI,SI,NI,SI,1,SI,1,Temperatura         Tiempo,10 - 95 °C         99:59 hrs:min,"0,1 °C",NI,FLUCTUACION DE CONTROL/VARIACION DE TEMPERATURA: +/-0.1 ºC /+/-0.25 ºC,115 VAC,"10,4 A",Máx. 80% HR,5 - 40 °C,Altura 337 mm X  Largo 468 mm X Ancho 356 mm,11 kg,Potencia 1200 W                                                                              Frecuencia 50/60 Hz
Inmunodeficiencias Primarias,Baño María,143437 / 040042,BIO-16755,16-861,Diana Arboleda / Claudia Milena Trujillo Vargas,"SIU - Laboratorio de Inmunodeficiencias primarias - Torre 2, Lab 530",Memmert,WNB 7,L211.1359,Extensión e investigación,BIO,Clase I,"ACTA No. 07 Junio 10 de 2009 indica que no requiere registro sanitario, y se rectifica en ACTA No. 09 Octubre 17 de 2012",,2012-05-22 00:00:00,UdeA,NI,811.033.098-5,Importecnical,No,Mayo de 2013,Compra,Factura,IM011571,2648280,SI,NO,SI,SI (CAP MANT),SI,SI,SI,NI,SI,1,SI,1,Temperatura         Tiempo,10 - 95 °C         99:59 hrs:min,"0,1 °C",NI,FLUCTUACION DE CONTROL/VARIACION DE TEMPERATURA: +/-0.1 ºC /+/-0.25 ºC,115 VAC,"10,4 A",Máx. 80% HR,5 - 40 °C,Altura 337 mm X  Largo 468 mm X Ancho 356 mm,11 kg,Potencia 1200 W                                                                              Frecuencia 50/60 Hz
