Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,Equipos dados de baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,Versión: 04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN GENERAL EQUIPOS,,,,,,,,,,,,,,,REGISTRO HISTÓRICO,,,,,,,,,,,INVENTARIO DE DOCUMENTOS,,,,,,,,INFORMACIÓN METROLÓGICA ADMINISTRATIVA,,,,INFORMACIÓN METROLÓGICA TÉCNICA,,,,,CONDICIONES DE FUNCIONAMIENTO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceso,Nombre del equipo,Código de inventario interno del laboratorio y/o asignado por UdeA,Código IPS,Código ECRI,Responsable del proceso en el que interviene el equipo y/o inventario UdeA,Ubicación física,Marca,Modelo,Serie,Clasificación según eje misional (Docencia y/o Investigación y/o Extensión),Clasificación IPS (IND-BIO-Gases),Clasificación por riesgo,Registro Invima/Permiso comercialización/No Requiere,Tiempo de vida útil,Antigüedad del eq. (F. adquisición),Propietario del equipo,Fecha de fabricación,NIT,Proveedor equipo,Está en garantía (Si/No),Fecha finalización garantía,Forma de adquisición,Tipo de documento,Número de documento,Valor de compra,Hoja de vida,Registro de importación,Manual operación (Esp),Manual servicio mto (Esp),Guía Rápida de uso,Instructivo de manejo rápido de equipos,Protocolo Mto Prev.,Frecuencia metrológica fabricante,Mantenimiento Si/No,Frecuencia anual mantenimiento,Calibración Si/No,Frecuencia anual calibración,Magnitud,Rango del equipo,Resolución,Rango de trabajo,Error máximo permitido,Voltaje,Corriente,Humedad relativa,Temperatura,Dimensiones,Peso,Otros
Grupo Reproducción,Congelador,159027,Pendiente,15-145,Carolina Navarro,"SIU - Laboratorio Reproducción - Torre 2, Lab 534",Electrolux,NI,NI,Docencia e investigación,,,,,,UdeA,,,,No,,Compra,Factura,,,,,,,,,,,No,,No,,Temperatura,,,,,,,,,,,
Grupo Reproducción,Nevera,109863 / 038554,Pendiente,17-157,Carolina Navarro,"SIU - Laboratorio Reproducción - Torre 2, Lab 534",Iral,NI,NI,Extensión,IND,,,,,UdeA,,,,No,,Compra,Factura,,,,,,,,,,,Si,1,Si,1 (calificación),Temperatura,,,2 - 8 °C,,,,,,,,
Grupo Reproducción,Centrífuga,114165 / 038557,BIO-16839,18-264,Carolina Navarro,"SIU - Laboratorio Reproducción - Torre 2, Lab 534",Indulab,HD,10237,Extensión,BIO,Clase I,,,,UdeA,,,,No,,Compra,Factura,,,,,,,,,,,Si,1,Si,1,Velocidad,Máx 2200 rpm,Posiciones 1 a 11,,,117 VAC,,,,,,Frecuencia 60 Hz
Grupo Reproducción,Microscopio,101235 / 038567,BIO-16840,18-283,Carolina Navarro,"SIU - Laboratorio Reproducción - Torre 2, Lab 534",olympus,CH20BIMF110,9J12950,Extensión,BIO,Clase I,,,,UdeA,,,,No,,Compra,Factura,,,,,,,,,,,Si,1,No,,,,,,,100/114-120 VAC,0.4 A,,,,,Frecuencia 50/60 Hz
