Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Código: F-147-LIME,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
,Equipos dados de baja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipos para uso solo en investigación,,,,,,,,,,,,,,,,,,,,,,,,,,Versión: 04,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"INVENTARIO EQUIPOS BIOMÉDICOS, INDUSTRIALES Y GASES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMACIÓN GENERAL EQUIPOS,,,,,,,,,,,,,,,REGISTRO HISTÓRICO,,,,,,,,,,,INVENTARIO DE DOCUMENTOS,,,,,,,,INFORMACIÓN METROLÓGICA ADMINISTRATIVA,,,,INFORMACIÓN METROLÓGICA TÉCNICA,,,,,CONDICIONES DE FUNCIONAMIENTO,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proceso,Nombre del equipo,Código de inventario interno del laboratorio y/o asignado por UdeA,Código IPS,Código ECRI,Responsable del proceso en el que interviene el equipo y/o inventario UdeA,Ubicación física,Marca,Modelo,Serie,Clasificación según eje misional (Docencia y/o Investigación y/o Extensión),Clasificación IPS (IND-BIO-Gases),Clasificación por riesgo,Registro Invima/Permiso comercialización/No Requiere,Tiempo de vida útil,Antigüedad del eq. (F. adquisición),Propietario del equipo,Fecha de fabricación,NIT,Proveedor equipo,Está en garantía (Si/No),Fecha finalización garantía,Forma de adquisición,Tipo de documento,Número de documento,Valor de compra,Hoja de vida,Registro de importación,Manual operación (Esp),Manual servicio mto (Esp),Guía Rápida de uso,Instructivo de manejo rápido de equipos,Protocolo Mto Prev.,Frecuencia metrológica fabricante,Mantenimiento Si/No,Frecuencia anual mantenimiento,Calibración Si/No,Frecuencia anual calibración,Magnitud,Rango del equipo,Resolución,Rango de trabajo,Error máximo permitido,Voltaje,Corriente,Humedad relativa,Temperatura,Dimensiones,Peso,Otros
Trasplantes GICIG,Plancha de calentamiento con agitación,65151 / 008830,BIO-16855,15-651,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",CORNING,PC-320,LR-33491,Extensión,BIO,,Antes de 2007,,2005-05-12 00:00:00,UdeA,NI,811.033.098-5,Importecnical Ltda.,No,,Compra,Tabla de registro de actividades del equipo,NI,,SI,,SI,,SI,SI,,NI,Si,1,Si,1,Velocidad / Temperatura,85 °C - 510 °C / 100 - 1200 RPM,NI,NI,NI,120 VAC,NI,NI,NI,NI,NI,Potencia 575 W Frecuencia 60 Hz
Trasplantes GICIG,Agitador vortex,3.059548.00 / 008836,Pendiente,15-651,Juan Jose Serrano ,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",SCIENTIFIC INDUSTRIES /GENIE 2,G-560,2-229068,Extensión,BIO,,Antes de 2007,,2005-05-12 00:00:00,UdeA,NI,811.033.098-5,Importecnical Ltda.,No,,Compra,Tabla de registro de actividades del equipo,N,,SI,,SI (ING),,,,,,Si,1,No,,Velocidad,Perilla de posiciones (1 a 10),NI,NI,NI,120 VAC,"0,5 A",Máx. 95%HR,0 - 38 °C,165 x 122 x 165 mm (profundo x ancho x alto),4 kg,Frecuencia 60 Hz
Trasplantes GICIG,Agitador vortex,116989 / 008819,BIO-16857,15-651,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",SCIENTIFIC INDUSTRIES /GENIE 2,G-560,2-374976,Extensión,BIO,,Antes de 2007,,2005-05-12 00:00:00,UdeA,NI,811.033.098-5,Importecnical Ltda.,No,,Compra,Factura,001807,1276000,SI,,SI (ING),,SI,SI,,,Si,1,No,,Velocidad,Perilla de posiciones (1 a 10),NI,NI,NI,120 VAC,"0,65 A",Máx. 95%HR,0 - 38 °C,165 x 122 x 165 mm (profundo x ancho x alto),4 kg,Frecuencia 60 Hz
Trasplantes GICIG,Balanza analítica,164386,BIO-16858,18-449,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",PRECISA,LS220A,7001460,Extensión,BIO,Clase I,ACTA No. 03 Abril 10 de 2013,,2016-08-01 00:00:00,UdeA,NI,860.536.024-8,Wacol S.A.,No,2018-08-01 00:00:00,Compra,Factura,144593,,SI,,SI (ING),SI (ING - CAP),SI (Fabricante),SI,,,Si,1,Si,1,Masa,Máx. 220 g,"0,1 mg",NI,NI,Entrada adaptador 90 - 264 VAC Entrada equipo desde adaptador 12 VDC,"Entrada equipo desde adaptador 1,5 A",25% a 85% (sin condensar),0°C a 40°C,228 x 381 x 345 mm (ancho x largox alto),"6,6 kg",Frecuencia de entrada a adaptador 47 - 63 Hz   
Trasplantes GICIG,Bomba de vacio,NT,Pendiente,15-168,Juan Jose Serrano / Cristiam Alvarez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",rotary vane vacuum pump,VP245,NI,Extensión,IND,,No es considerado dispositivo médico,,2021-05-20 00:00:00,UdeA,NI,901.250.914-7,Inversiones Gameo,No,,Compra,Factura,FE87,802990,SI,,,,,,,,Si,1,No,,,,,,,110 VAC,,,,,,Frecuencia 60 Hz
Trasplantes GICIG,Cabina de extracción,C481 (E-20702301-2-004),BIO-16859,NI,Juan Jose Serrano,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",C4,CEX 120,100406,Extensión,BIO,,"No requiere, Adquirido antes de 2007",,2005,UdeA,NI,805.016.686-2,C4 Pascal,No,,Compra,Histórico de reportes de mantenimiento,NI,,SI,,SI,SI (CAP),SI,SI,Se describe en capitulo de servicio,Semestral,Si,1,Si,1 (calificación),,,,,,110 VAC,NI,NI,NI,"1200 X 1800 X 1519 cm 
(ancho x fondo x alto)",NI,Frecuencia 50 / 60 Hz
Trasplantes GICIG,Calentador seco,108942 / 008843,BIO-16860,NI,Juan Jose Serrano / Gloria Vasquez,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",BOEKEL,113002,0233 12871,Extensión,BIO,Clase I ,Antes de 2007,,2002-10-01 00:00:00,UdeA,NI,NI ,BIOLOGIA MOLECULAR,No,,Compra,Histórico de reportes de mantenimiento y hojas de vida anteriores,NI,,SI,,,,SI,SI,,NI,Si,1,No,,Temperatura,5 - 120 °C,5 - 120 °C,NI,NI,115 VAC,"1,75 A",NI,NI,NI,NI,Potencia 200 W Frecuencia 60 Hz
Trasplantes GICIG,Cámara de electroforesis,59554,BIO-16861-1,,Juan Jose Serrano,"SIU - Laboratorio trasplantes - Torre 1, Lab 410",SIGMA/CBS SCIENTIFIC,EPS-300-IIV,CSE10051321,Docencia e investigación,,,No es considerado dispositivo médico,,,UdeA,,,ND,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,
